Defined term,Definition,Reference1,Reference2
CKD,chronic kidney disease,https://www.acronymfinder.com/Science-and-Medicine/CKD.html,
CKD,cyclical ketogenic diet,https://www.acronymfinder.com/Science-and-Medicine/CKD.html,
CKMB,MB isoenzyme of creatine kinase,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_C,
clarithromycin,"Clarithromycin is an anitbiotic mainly used to treat bacterial infections of the lungs, ears, sinuses, skin, and throat.",https://medlineplus.gov/druginfo/meds/a692005.html,
clear,normal,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
clear yellow urine,Clear yellow urine indicates dehydration.,,
closures,Closures are surgical closing of a wound.,"Miller-Keane Encyclopedia and Dictionary of Medicine, Nursing, and Allied Health, Seventh Edition. © 2003 by Saunders, an imprint of Elsevier, Inc",
clr,"clear, normal",,
cm H2O,"Cm H2O is the unit of measurement of PEEP, EPAP, IPAP, and plateau pressure.",http://www.msdmanuals.com/professional/critical-care-medicine/respiratory-failure-and-mechanical-ventilation/ventilatory-failure,
CMH,cardiomyopathy,https://www.allacronyms.com/_medical/CMH,
CMH,"cardiomyopathy, hypertrophic",https://www.allacronyms.com/_medical/CMH,
CMH,ceramide monohexoside,https://www.allacronyms.com/_medical/CMH,
CMH,chinese medicinal herbs,https://www.allacronyms.com/_medical/CMH,
CMH,chronic mucus hypersecretion,https://www.allacronyms.com/_medical/CMH,
CMH,cocaine-mediated hepatotoxicity,https://www.allacronyms.com/_medical/CMH,
CMH,congenital malformation history,https://www.allacronyms.com/_medical/CMH,
CMH,congenital malformation of the heart,https://www.allacronyms.com/_medical/CMH,
CMH,creatine monohydrate,https://www.allacronyms.com/_medical/CMH,
CMO,comfort measures only,records context,
CMV,continuous mandatory ventilation,http://www.ucdenver.edu/academics/colleges/medicalschool/departments/medicine/intmed/imrp/CURRICULUM/Documents/Mechanical%20ventilation%20review.pdf,
CMV,CMV is continuous mandatory ventilation and is also called assist-control ventilation (ACV).,https://www.openanesthesia.org/modes_of_mechanical_ventilation/,
CMV viremia,This is cytomegalovirus in the blood.,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_C,
coarse ,This indicates secretions in the airway associated with chronic bronchitis and severe pulmonary edema.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4518345/,
coarse bilaterally,This indicates secretions in the airway associated with chronic bronchitis and severe pulmonary edema.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4518345/,
coarse breath sounds,This indicates secretions in the airway associated with chronic bronchitis and severe pulmonary edema.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4518345/,
coarse sounds,This indicates secretions in the airway associated with chronic bronchitis and severe pulmonary edema.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4518345/,
coccygeal ulcer,skin ulcer over the coccyx,,
coccyx,tailbone,https://www.webmd.com/fitness-exercise/tailbone-coccyx-injury#1,
code: comm: family,"Code: comm: family means either the patient died or was resucitated, or plans were made in the event of death.",,
coil embolization,"Coil embolization is an intravascular procedure to treat a blood vessel aneurysm in the brain, to prevent rupture.",https://www.osfhealthcare.org/st-joseph/services/diagnostics/coil-embolization/,
colic artery,The colic artery is any of three arteries that supply the large intestine.,https://www.merriam-webster.com/medical/colic%20artery,
colitis,Colitis is inflammation of the colon.,https://www.emedicinehealth.com/colitis/article_em.htm,
comfortable,normal,,
commands mouths words,Mouths words on command.,,
comparison study,This is a term used in imaging notes.,,
compartment,A compartment is a partitioned-off portion of a larger bound space; a separate section or chamber. Limb compartments are bound deeply by bones and intermuscular septa and superficially by deep fascia and generally are not in communication with the other compartments; muscles contained within the compartments of the limbs share similar functions and innervation.,https://www.medilexicon.com/dictionary/19334,
compartment sx,Compartment syndrome is a painful condition that occurs when pressure within the muscles builds enough to decrease blood flow,https://orthoinfo.aaos.org/en/diseases--conditions/compartment-syndrome/,
compartment syndrome,Compartment syndrome is a painful condition that occurs when pressure within the muscles builds enough to decrease blood flow,https://orthoinfo.aaos.org/en/diseases--conditions/compartment-syndrome/,
complicated CMV viremia,There are a variety of complications of CMV infection.,https://www.mayoclinic.org/diseases-conditions/cmv/symptoms-causes/syc-20355358,
concerns appropriate,concerns appropriate,,
condition update,condition update,,
cont current mngmnt,continue current management,,
continued moderate congestive heart failure,moderate congestive heart failure,,
contours stable,contours stable is a term used in imaging reports,,
COPD,COPD is chronic obstructive pulmonary disease.,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
cord blood transplantation,"Umbilical cord blood transplantation contains stem cells and is done to restore the blood production system, that may have been damaged by cancer and severe blood disorders.",https://www.cancer.gov/publications/dictionaries/cancer-terms/def/umbilical-cord-blood-transplantation,
core biopsy ,Core biopsy is done to take a tissue sample from a lump.,https://www.myvmc.com/investigations/core-biopsy/,
coronary artery bypass graft,coronary artery bypass graft,,
correct coags,Treat abnormal levels of coagulation factors,,
cortisol,Cortisol is a glucocorticoid steroid hormone released in response to stress and low blood sugar; it is also the medication hydrocortisone.,https://en.wikipedia.org/wiki/Cortisol,
cortison inj,"Cortisone injection, used to treat inflammation, allergies, asthma, and some cancers",https://medlineplus.gov/druginfo/meds/a682206.html,
CPAP,continuous positive airway pressure,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_C,
CPP,CPP is cerebral perfusion pressure.,http://www.trauma.org/archive/neuro/cpp.html,
CR,creatinine,http://www.med.upenn.edu/student/documents/2010GuidetotheClinics_Jan2011_.pdf,
CR,complete response,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_C,
CR,controlled release,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_C,
Cr,creatinine,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_C,
cr 2.3,High creatinine; kidney disease.  Normal serum creatinine range is 0.6–1.1 mg/dL in women and 0.7–1.3 mg/dL in men. ,https://lifeoptions.org/learn-about-kidney-disease/blood-and-urine-tests/,
crackles,"Crackles are a sound associated with pulmonary edema, lung infection, fibrotic lung disease, obstructive lung disease, and cardiac disease.",,
craniotomy,A craniotomy is surgery in which the brain is accessed by making a hole in the skull.,https://medlineplus.gov/ency/presentations/100048_3.htm,
creatinine,Creatinine is used to monitor kidney function.,https://medlineplus.gov/lab-tests/creatinine-test/,
creatinine 1.6,High creatinine; kidney disease.  Normal serum creatinine range is 0.6–1.1 mg/dL in women and 0.7–1.3 mg/dL in men. ,https://lifeoptions.org/learn-about-kidney-disease/blood-and-urine-tests/,
crit,"Crit is an abbreviation of hematocrit, which is a measure of the proportion of red blood cells in the blood.",https://www.medicinenet.com/script/main/art.asp?articlekey=3680,
CRRT,continuous renal replacement therapy,https://www.baxter.com/products-expertise/renal-failure-treatments/expertise/crrt.page,https://ac.els-cdn.com/S1607551X09704206/1-s2.0-S1607551X09704206-main.pdf?_tid=78d74118-0dbe-11e8-855e-00000aacb361&acdnat=1518197416_0a223a85f370e6a467ec49441f2670db
Cryptosporidiosis,"Cryptosporidium parasites cause diarrheal infections in people and animals.  Crypto may be found in soil, food, water, or surfaces that have been contaminated with the feces from infected humans or animals. Crypto is not spread by contact with blood.",https://www.cdc.gov/parasites/crypto/infection-sources.html,
CSRU,Apparently the old name of the hospital's cardiovascular critical care unit.,www.bidmc.org/~/media/Files/Centers and Departments/Surgery/CardiacSurgery/Pre Operative Instructions.pdf p7.,
CT reconstruction,CT reconstruction is the computed CT image of part of the patient.,https://medical-dictionary.thefreedictionary.com/CT,
cTropnT,"cTropnT is apparently an abbreviation for cardiac troponin test, because other abbreviations are TnT and cTnT, and I couldn't find a definition specific to ctropnt. ",https://www.mountsinai.org/health-library/tests/troponin-test,
CTS,cardiothoracic surgery,http://www.facts-care.org/about.aspx,
CTS,carpal tunnel syndrome,https://www.arthrex.com/hand-wrist/centerline-endoscopic-carpal-tunnel-release-system,
culture-negative leukocytosis,Culture-negative leukocytosis is an elevated white blood cell count even though no infectious agent was cultured; possible causes include cancer and inflammation.,https://www.sciencedirect.com/topics/medicine-and-dentistry/leukocytosis,
CVA,"CVA is a cerebral vascular accident, stroke.",,
CVICU,Cardiovascular intensive care unit,www.bidmc.org/Patient-and-Visitor-Information/Adult-Intensive-Care/Finding-the-ICU.aspx,
CVID,"CVID is common variable immunodeficiency, which increases chances of infection.",https://ghr.nlm.nih.gov/condition/common-variable-immune-deficiency,
CVP,central venous pressure,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_C,
CVP,chlorphenvinphos,https://www.acronymfinder.com/Science-and-Medicine/CVP.html,
CVP,"cyclophosphamide, vincristine, prednisone (chemotherapy regimen)",https://www.acronymfinder.com/Science-and-Medicine/CVP.html,
CVVH,continuous venovenous hemofiltration,https://ac.els-cdn.com/S1607551X09704206/1-s2.0-S1607551X09704206-main.pdf?_tid=78d74118-0dbe-11e8-855e-00000aacb361&acdnat=1518197416_0a223a85f370e6a467ec49441f2670db,
CVVHD,continuous venovenous hemodialysis,https://ac.els-cdn.com/S1607551X09704206/1-s2.0-S1607551X09704206-main.pdf?_tid=78d74118-0dbe-11e8-855e-00000aacb361&acdnat=1518197416_0a223a85f370e6a467ec49441f2670db,
CVVHDF,continuous venovenous hemodiafiltration,https://ac.els-cdn.com/S1607551X09704206/1-s2.0-S1607551X09704206-main.pdf?_tid=78d74118-0dbe-11e8-855e-00000aacb361&acdnat=1518197416_0a223a85f370e6a467ec49441f2670db,
Cx,cervix,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_C,
Cx,complication,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_C,
Cx,microbiological culture,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_C,
CXR,chest x-ray,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_C,
cxray,chest x-ray,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_C,
cycle doxil,Doxil is used to treat cancer and is given on a schedule that varies by cancer type.,https://medlineplus.gov/druginfo/meds/a612001.html,
Cytogam,"Cytogam is a cytomegalovirus immune globulin to prevent infection by the virus in patients getting an organ (kidney, lung, liver, pancreas, heart) transplant.",https://www.rxlist.com/cytogam-drug.htm#indications,
d/t,due to?,,
DAH,DAH is diffuse alveolar hemorrhage.,https://www.acronymfinder.com/Science-and-Medicine/DAH.html,
DAH,DAH is disordered action of the heart.,https://www.acronymfinder.com/Science-and-Medicine/DAH.html,
Danlos,"Searching for ""Danlos"" online brings up only Ehlers-Danlos Syndrome (EDS), a group of inherited connective tissue disorders characterized by joint hypermobility, stretchy skin, fragile tissue, aortic dissection, joint dislocations, scoliosis, osteoarthritis, brittle cornea syndrome, heart murmur, heart conduction abnormalities, hiatal hernia, spontaneous pneumothorax, neuropathy, platelet aggregation failure, mast cell disorders, and/or eye problems.",https://en.wikipedia.org/wiki/Ehlers%E2%80%93Danlos_syndromes,
daptomycin,daptomycin is a drug to treat bacterial infections of the blood or skin,https://medlineplus.gov/druginfo/meds/a608045.html,
dark amber,Amber color of urine indicates severe dehydration.,https://www.mayoclinic.org/diseases-conditions/urine-color/symptoms-causes/syc-20367333,
dark red blood,bleeding,,
DDD,defined daily dose,https://www.acronymfinder.com/Science-and-Medicine/DDD.html,
DDD,degenerative disc disease,https://www.acronymfinder.com/Science-and-Medicine/DDD.html,
DDD,direction-delay doppler,https://www.acronymfinder.com/Science-and-Medicine/DDD.html,
DDD,DDD is a type of cardiac pacemaker: dual chamber pacing; dual chamber sensing; dual response (triggering and inhibiting). [ddd pcmultipump],,
d-dimer:1569 ng/ml,"D-dimer is related to the clotting process; levels above 0.5 µg/mL can be due to thrombosis, disseminated intravascular coagulation, recent surgery, trauma, malignancy, pregnancy, liver disease, or renal disease.",Harris N. D-dimer and DVT. AACC and NACB presentation.  Https://www.scribd.com/document/479435108/CTH-D-Dimers-May-2-2013-pdf,
d-dimer:2458 ng/ml,"D-dimer is related to the clotting process; levels above 0.5 µg/mL can be due to thrombosis, disseminated intravascular coagulation, recent surgery, trauma, malignancy, pregnancy, liver disease, or renal disease.",Harris N. D-dimer and DVT. AACC and NACB presentation.  Https://www.scribd.com/document/479435108/CTH-D-Dimers-May-2-2013-pdf,
d-dimer:2559 ng/ml,"D-dimer is related to the clotting process; levels above 0.5 µg/mL can be due to thrombosis, disseminated intravascular coagulation, recent surgery, trauma, malignancy, pregnancy, liver disease, or renal disease.",Harris N. D-dimer and DVT. AACC and NACB presentation.  Https://www.scribd.com/document/479435108/CTH-D-Dimers-May-2-2013-pdf,
d-dimer:3818 ng/ml,"D-dimer is related to the clotting process; levels above 0.5 µg/mL can be due to thrombosis, disseminated intravascular coagulation, recent surgery, trauma, malignancy, pregnancy, liver disease, or renal disease.",Harris N. D-dimer and DVT. AACC and NACB presentation.  Https://www.scribd.com/document/479435108/CTH-D-Dimers-May-2-2013-pdf,
d-dimer:6342 ng/ml,"D-dimer is related to the clotting process; levels above 0.5 µg/mL can be due to thrombosis, disseminated intravascular coagulation, recent surgery, trauma, malignancy, pregnancy, liver disease, or renal disease.",Harris N. D-dimer and DVT. AACC and NACB presentation.  Https://www.scribd.com/document/479435108/CTH-D-Dimers-May-2-2013-pdf,
d-dimer:6389 ng/ml,"D-dimer is related to the clotting process; levels above 0.5 µg/mL can be due to thrombosis, disseminated intravascular coagulation, recent surgery, trauma, malignancy, pregnancy, liver disease, or renal disease.",Harris N. D-dimer and DVT. AACC and NACB presentation.  Https://www.scribd.com/document/479435108/CTH-D-Dimers-May-2-2013-pdf,
d-dimer:881 ng/ml,"D-dimer is related to the clotting process; levels above 0.5 µg/mL can be due to thrombosis, disseminated intravascular coagulation, recent surgery, trauma, malignancy, pregnancy, liver disease, or renal disease.",Harris N. D-dimer and DVT. AACC and NACB presentation.  Https://www.scribd.com/document/479435108/CTH-D-Dimers-May-2-2013-pdf,
DDx,differential diagnosis,records context,
decadron,"Decadron is dexamethasone, a corticosteroid, similar to a natural hormone produced by the adrenal glands, used to treat arthritis, skin, blood, kidney, eye, thyroid, intestinal disorders, severe allergies, and asthma. Decadron is also used to treat certain types of cancer and occasionally, cerebral edema.",https://www.rxlist.com/decadron-side-effects-drug-center.htm,
decadron,"Decadron is dexamethasone, a corticosteroid, similar to a natural hormone produced by the adrenal glands, used to treat arthritis, skin, blood, kidney, eye, thyroid, intestinal disorders, severe allergies, and asthma. Decadron is also used to treat certain types of cancer and occasionally, cerebral edema.",https://www.rxlist.com/decadron-side-effects-drug-center.htm,
decitabine,Decitabine treats refractory anemia or  chronic myelomonocytic leukemia.,https://www.rxlist.com/dacogen-drug.htm#indications,
decitabine,Decitabine treats refractory anemia or  chronic myelomonocytic leukemia.,https://www.rxlist.com/dacogen-drug.htm#indications,
decreased bases,Breath sounds are quieter than normal in lower parts of lungs.,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
deep suctioning,"When a tracheostomy tube is in place, deep suctioning may be required to remove excess secretions, that are stimulated by the tube.",https://www.hopkinsmedicine.org/tracheostomy/living/suctioning.html,
deep sxn,"Deep suctioning. When a tracheostomy tube is in place, deep suctioning may be required to remove excess secretions, that are stimulated by the tube.",https://www.hopkinsmedicine.org/tracheostomy/living/suctioning.html,
defibrotide,"Defibrotide (brand name Defitelio) is used to treat hepatic veno-occlusive disease (VOD), also known as sinusoidal obstruction syndrome (SOS), with renal or pulmonary dysfunction following hematopoietic stem-cell transplantation (HSCT).",https://defitelio.com/,
delayed precordial QRS transition,Delayed QRS transition in the precordial leads of an electrocardiogram has been claimed to be a predictor of sudden cardiac death in the general population.,https://www.heartrhythmjournal.com/article/S1547-5271(14)00868-6/abstract,
depressed LVEF,"Depressed LVEF is lower left ventricular ejection fraction, or less blood pumped from the heart to the rest of the body with each contraction.",https://my.clevelandclinic.org/health/articles/16950-ejection-fraction,
Dermatophytosis,"Dermatophytosis is ringworm or tinea, a fungal infection of skin.  It can be contagious.",,
desat,"Desat is short for desaturation, where the blood oxygen levels have fallen.",https://en.wiktionary.org/wiki/desat,
Desitin,"Zinc oxide, which is a topical cream to treat and prevent diaper rash.",https://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012707/?report=details,
DHT,"Dobhoff tube, one of 3 enteral feeding tube types to be used on ventilated patients.",http://www.surgicalcriticalcare.net/Guidelines/feeding%20algorithm.pdf,
diabetes hypertension,Diabetes hypertension means the patient has both diabetes and hypertension.,https://www.healthline.com/health/type-2-diabetes/hypertension#risk-factors,
diag,Diag is apparently an abbreviation of diagnosis.,context,
dialysis catheter,"Patient is getting dialysis, which assists or replaces kidney function.",,
DIC Portex,"This is a Portex brand cuffed DIC tracheostomy tube, tube size 7.0 mm.  DIC is disposable inner cannula.","Roberts JR.  Roberts and Hedges’ Clinical Procedures in Emergency Medicine and Acute Care. E-Book. Elsevier Health Sciences, 2017.  P. 148.  ",
"differential-neuts:83.4 %,",Neutrophils are normally 40 to 60% on the differential; increases and decreases can be due to a large number of reasons.,https://medlineplus.gov/ency/article/003657.htm,
"differential-neuts:85.6 %, band:0.0 %,",Neutrophils are normally 40 to 60% on the differential; increases and decreases can be due to a large number of reasons.,https://medlineplus.gov/ency/article/003657.htm,
"differential-neuts:86.9 %, band:0.0 %,",Neutrophils are normally 40 to 60% on the differential; increases and decreases can be due to a large number of reasons.,https://medlineplus.gov/ency/article/003657.htm,
"differential-neuts:86.9 %, band:0.0 %, lymph:9.2 %, mono:3.9 %, eos:0.1 %, d-dimer:2559 ng/ml, fibrinogen:416",Neutrophils are normally 40 to 60% on the differential; increases and decreases can be due to a large number of reasons.,https://medlineplus.gov/ency/article/003657.htm,
Diflucan,"Diflucan is fluconazole, which prevents and treats fungal infections.",https://www.ncbi.nlm.nih.gov/pubmedhealth/?term=diflucan,
dilated lv,Dilated lv is dilated left ventricle of the heart and is also called left ventricular hypertrophy.  It can lead to heart failure.,https://www.mayoclinic.org/diseases-conditions/left-ventricular-hypertrophy/symptoms-causes/syc-20374314,
dilaudid,Dilaudid is hydromorphone and used for pain control for opioid-tolerant patients.,,
dilaudid-hp,Dilaudid-hp is high strength hydromorphone for controlling pain in opioid-tolerant patients.,https://medlineplus.gov/druginfo/meds/a601148.html,
diminished,Breath sounds are quieter than normal.,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
diminished bs,"Quieter than normal bowel sounds, unless quadrant or bases is specified.","Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
diprivan,Diprivan is a sedative.,https://www.rxlist.com/consumer_propofol_diprivan/drugs-condition.htm,
dispo: CCU,Patient is sick enough to need to be in cardiac care unit.,,
dissection,Acute aortic dissection leads to aortic rupture; it is life threatening and treated with repair surgery.,https://experts.umich.edu/en/publications/acute-aortic-dissection-2,
dissection repair,Acute aortic dissection leads to aortic rupture; it is life threatening and treated with repair surgery.,https://experts.umich.edu/en/publications/acute-aortic-dissection-2,
distal LAD,Distal LAD is a segment of the  left anterior descending coronary artery.,https://www.cardiologysite.com/html/lad.html,
diuresis,This is urination to decrease the body's balance of fluid.,https://en.wikipedia.org/wiki/Diuresis,
diuretic,Diuretic is used to treat the body's overload of fluid.,https://en.wikipedia.org/wiki/Diuresis,
diverticulosis,This is the condition of having multiple pouches (diverticula) in the colon that are not inflamed. These are outpockets of the colonic mucosa and submucosa through weaknesses of muscle layers in the colon wall. They typically cause no symptoms.,https://en.wikipedia.org/wiki/Diverticulosis,
DL,detection limits,https://acronym24.com/dl-meaning-in-medical/,https://www.acronymfinder.com/Scince-and-Medicine/DL.html
DL,dose level,https://acronym24.com/dl-meaning-in-medical/,
dL,deciliter,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_D,https://www.allacronyms.com/DL/medical
DL,danger list,https://www.acronymfinder.com/Scince-and-Medicine/DL.html,
DL,diagnostic laparoscopy,https://www.allacronyms.com/DL/medical,https://acronym24.com/dl-meaning-in-medical/
DL,direct laryngoscopy,https://www.allacronyms.com/DL/medical,
DM,dermatomyositis,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_D,
DM,diabetes mellitus,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_D,
dm 2,dm 2 is diabetes mellitus type 2,https://www.acronymfinder.com/Science-and-Medicine/DM-2.html,
dmii,dmii is diabetes mellitus type 2,https://www.acronymfinder.com/Science-and-Medicine/DM-2.html,
DNR,do not resuscitate,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_D,
Dobhoff,"Dobhoff tube, one of 3 enteral feeding tube types to be used on ventilated patients.",http://www.surgicalcriticalcare.net/Guidelines/feeding%20algorithm.pdf,
Dobhoff tube,"Dobhoff tube, one of 3 enteral feeding tube types to be used on ventilated patients.",http://www.surgicalcriticalcare.net/Guidelines/feeding%20algorithm.pdf,
donor,This implies there was a transplant or transfusion.,context,
donor IVC,Donor IVC is the inferior vena cava blood vessel that comes with a donor liver.,https://www.ncbi.nlm.nih.gov/pubmed/26093741,
dopp,"Dopp is duplex ultrasound, which is used to evaluate blood flow through arteries and veins.  It is also called Doppler Test, Vascular Lab Test, Duplex Exam, Duplex Scan.",https://vascular.org/patient-resources/vascular-tests/duplex-ultrasound,
dopp abd/pel clip reason: duplex,This is ultrasound to view blood movement in abdoment and pelvis,https://medlineplus.gov/ency/article/003433.htm,
Doppler,"Doppler is duplex ultrasound, which is used to evaluate blood flow through arteries and veins.  It is also called Doppler Test, Vascular Lab Test, Duplex Exam, Duplex Scan.",https://vascular.org/patient-resources/vascular-tests/duplex-ultrasound,
doxacurium,Doxacurium is a long-acting skeletal muscle relaxant used during surgery or mechanical ventilation.,https://en.wikipedia.org/wiki/Doxacurium_chloride,
doxil,Doxil is used to treat cancer.,https://medlineplus.gov/druginfo/meds/a612001.html,
DP,dorsalis pedis,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_D,
Dr. aware.,This means the physician has been notified.,context,
draining bilious fluid,"Draining bilious fluid means draining fluid that has more bile than usual, generally indicating liver dysfunction.",https://www.medicinenet.com/script/main/art.asp?articlekey=11721,
drawn,blood drawn,,
dressing,skin dressing,,
dressing change,skin dressing changed,,
drng,draining,context,
dsd,dry sterile dressing,http://www.medilexicon.com/abbreviations?search=dsd&target=abbreviations,
DSG,dressing; dry sterile gauze,http://www.globalrph.com/abbreviations_D2.htm,
DT,detection threshold,https://www.acronymfinder.com/Science-and-Medicine/D%2fT.html,
DT,diagnosis tree,https://www.acronymfinder.com/Science-and-Medicine/D%2fT.html,
DT,drug therapy,https://www.acronymfinder.com/Science-and-Medicine/D%2fT.html,
Dulcolax,bisacodyl; stimulant laxative,,
duodenal ulcer repair,Duodenal ulcer repair con be done with laparoscopic or open surgery.,https://www.east.org/education/publications/landmark-papers-in-trauma-and-acute-care-surgery/emergency-general-surgery/peptic-ulcer-disease,
DuoDERM,This is a brand for a family of products for wound care.,,
duplex,"This is duplex ultrasound, which is used to evaluate blood flow through arteries and veins.  It is also called Doppler Test, Vascular Lab Test, Duplex Exam, Duplex Scan.",https://vascular.org/patient-resources/vascular-tests/duplex-ultrasound,
DVT,deep vein thrombosis,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_D,
DVT boots,This is a device placed around legs to prevent deep vein thrombosis.,Fort CW. Get pumped to prevent DVT. Nursing2002. 2002 Sep; 32(9):50-52. https://journals.lww.com/nursing/Fulltext/2002/09000/Get_pumped_up_to_prevent_DVT.36.aspx,
dwell,Dwell time is the time that something therapeutic or diagnostic remains inside a patient's body.,"Mosby's Medical Dictionary, 9th edition. Elsevier. 2009.",
DZ,disease,https://www.acronymfinder.com/Science-and-Medicine/DZ.html,
early anemia,Early anemia is new anemia.,http://news.cancerconnect.com/recognizing-the-early-signs-of-anemia/,
ecchymosis,An ecchymosis is bruised skin.,https://medlineplus.gov/ency/article/003235.htm,
echocardiogram,An echocardiogram is an image of heart function and anatomy.,,
echo-free pericardial space >20mm,high risk large pericardial effusion,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2878263/,
ectasia,Ectasia is expansion of a hollow or tubular organ.,https://www.merriam-webster.com/medical/ectasia,
ectopy,"This means something is out of its normal place.  For cardiac, the electrical impulses originate in the wrong place.",https://medical-dictionary.thefreedictionary.com/ectopy,
edema extremities,Edema in the arms indicates obstruction of superior vena cava.,"Harrison's Principles of Internal Medicine, 19th ed.  Avail at Access Medicine.",
EF,ejection fraction,https://www.acronymfinder.com/Science-and-Medicine/EF.html,
EF 29%,Ejection fraction is a measurement of the percentage of blood leaving your heart each time it contracts and is normally at least 50%.,https://www.mayoclinic.org/ejection-fraction/expert-answers/faq-20058286,
EF 30%,Ejection fraction is a measurement of the percentage of blood leaving your heart each time it contracts and is normally at least 50%.,https://www.mayoclinic.org/ejection-fraction/expert-answers/faq-20058286,
EF 50% 55%,Ejection fraction is a measurement of the percentage of blood leaving your heart each time it contracts and is normally at least 50%.,https://www.mayoclinic.org/ejection-fraction/expert-answers/faq-20058286,
EGD,esophagogastroduodenoscopy,http://www.globalrph.com/abbreviations_E.htm,
Ehrlichiosis,Ehrlichiosis is a rickettsial bacterial infection transmitted by the bite of a tick. ,medlineplus.gov/ency/article/001381.htm,
EJ,EJ is the external jugular vein used for central acess.,https://en.wikipedia.org/wiki/External_jugular_vein,
elephant trunk,Elephant trunk is a surgical repair of the aortic artery.,https://www.ajronline.org/doi/full/10.2214/AJR.11.6349,
elevated LFTs,"This is elevated liver function tests, which indicate liver problems.",http://www.globalrph.com/abbreviations_L.htm,https://www.mayoclinic.org/tests-procedures/liver-function-tests/about/pac-20394595
embolization left internal iliac,Internal iliac artery (IIA) coil embolization as an adjunct to endovascular stent grafting (ESG) is common practice for treating abdominal aortic aneurysm (AAA) in patients with a substantially enlarged common iliac artery requiring extension of the stent-graft limb into the external iliac artery.,https://www.ncbi.nlm.nih.gov/pubmed/12756337,
enbrel,"Enbrel is used to treat arthritis, ankylosing spondylitis, and psoriasis by blunting immune activity.",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2dc2ed4b-f234-4ccc-bd95-0b63ac3ef421,
encephalitis,"Encephalitis is inflammation of the brain, most commonly caused by viral infection.",https://www.mayoclinic.org/diseases-conditions/encephalitis/symptoms-causes/syc-20356136,
encephalopathy,Encephalopathy is any diffuse disease of the brain that alters brain function or structure and has many causes. ,https://www.ninds.nih.gov/Disorders/All-Disorders/Encephalopathy-Information-Page,
end stage liver,end stage liver disease,,
end-end anastomosis,End-to-side anastomosis is a surgical connecting of the end of one body structure with the side of a larger one.,"Miller-Keane Encyclopedia and Dictionary of Medicine, Nursing, and Allied Health, Seventh Edition. © 2003 by Saunders, an imprint of Elsevier, Inc",
endoclip,"This is a mechanical device used to treat GI bleeding, close GI perforation, secure placement of endoscopic feeding tube, orient the bile duct during imaging, or prevent bleeding after a procedure such as polyp removal.",https://en.wikipedia.org/wiki/Endoclip,
endotracheal tube,This is used for long term mechanical ventilation.,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_A,
EOS,early-onset sarcoidosis,https://www.allacronyms.com/EOS/medical,
EOS,early-onset sepsis,https://www.allacronyms.com/EOS/medical,
EOS,end of study,https://www.allacronyms.com/EOS/medical,
EOS,eosinophils,https://www.allacronyms.com/EOS/medical,
eos:1.0 %,Eosinophils are normally 1 to 4% on the differential; increases and decreases can be due to a large number of reasons.,https://medlineplus.gov/ency/article/003657.htm,
EPI,echoplanar imaging,http://www.globalrph.com/abbreviations_E.htm,
epi,"This is epinephrine, used to treat allergic reactions.",http://www.globalrph.com/abbreviations_E.htm,https://medlineplus.gov/druginfo/meds/a603002.html
epinephrine,"This is epinephrine, used to treat allergic reactions.",http://www.globalrph.com/abbreviations_E.htm,
erosion vascular,Erosion vascular is eating away of the interior of a blood vessel,https://www.medicinenet.com/script/main/art.asp?articlekey=9562,
ESBL klebsiella acineotbacter,ESBL (Extended spectrum beta-lactamase) producing enterobacteriaceae are challenging organisms with little treatment options.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4991070/,
